Camila Costa,7.5,9.6,6.1
Lucas Gomes,7.6,9.8,9.0
Sofia Moura,5.5,6.1,7.2
Ana Santos,6.9,8.2,7.8
Aline Santos,8.8,9.5,8.6
Ricardo Pereira,7.6,7.7,7.4
Aline Ribeiro,5.8,8.9,6.0
Felipe Moura,7.7,6.4,8.9
Carlos Pereira,9.5,7.7,7.1
Juliana Silva,8.0,7.6,9.4
Isabela Lima,9.0,8.7,8.6
Joao Nascimento,6.3,6.2,9.7
Camila Gomes,9.0,8.5,7.0
Maria Oliveira,6.1,7.0,7.3
Joao Martins,7.8,7.6,7.6
Mariana Pereira,6.2,7.6,5.9
Rafael Carvalho,5.9,9.0,6.4
Guilherme Almeida,7.4,8.7,7.0
Ricardo Lima,6.8,6.3,5.9
Felipe Gomes,6.3,7.5,6.3
Camila Ribeiro,7.3,6.0,9.0
Guilherme Rodrigues,8.2,5.5,8.7
Lucas Martins,5.6,9.6,9.8
Aline Gomes,9.2,6.2,5.3
Ricardo Santos,6.7,5.7,7.3
Sofia Rodrigues,8.3,9.2,9.2
Aline Lima,7.3,5.8,9.5
Carlos Costa,6.3,8.1,5.5
Felipe Carvalho,8.5,6.2,6.4
Rafael Rodrigues,8.8,7.5,7.2
Maria Almeida,9.0,9.6,6.3
Aline Nascimento,7.3,9.4,9.8
Isabela Costa,5.7,9.7,7.4
Carlos Almeida,6.3,5.3,5.7
Lucas Lima,5.9,9.3,7.0
Guilherme Nascimento,8.5,7.2,6.0
Pedro Silva,6.3,5.2,5.9
Juliana Moura,8.2,8.8,8.5
Mariana Costa,7.0,5.3,5.5
Juliana Souza,7.7,7.6,8.7
Aline Costa,7.5,7.5,5.9
Sofia Gomes,7.3,6.6,5.3
Ana Almeida,7.6,5.4,5.1
Maria Carvalho,7.1,5.2,7.4
Rafael Moura,5.2,9.5,9.1
Lucas Santos,6.8,9.8,8.8
Ana Martins,7.9,9.7,7.7
Rafael Souza,6.9,7.8,7.5
Maria Santos,7.4,8.5,5.9
Maria Pereira,8.9,8.4,5.2
Rafael Almeida,10.0,8.4,8.4
Aline Ferreira,7.8,7.7,5.7
Lucas Almeida,8.9,8.4,6.8
Camila Almeida,9.9,8.4,6.6
Pedro Nascimento,8.8,7.4,6.1
Rafael Lima,9.7,9.7,6.1
Rafael Gomes,8.4,7.6,8.7
Mariana Gomes,6.8,9.2,6.0
Ana Moura,7.2,7.3,9.2
Carlos Oliveira,8.1,7.5,8.5
Carlos Santos,5.3,6.3,8.8
Isabela Silva,8.9,6.7,6.8
Maria Nascimento,8.4,8.1,5.2
Felipe Ribeiro,9.2,6.1,5.5
